key_resp_0.keys,key_resp_0.rt,key_resp_before_t.keys,key_resp_before_t.rt,training_resp.keys,training_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,imageFile,participant,group,sitzung,geschlecht*,skip,date,expName,psychopyVersion,OS,frameRate,training_resp_2.keys,training_resp_2.corr,training_resp_2.rt,repeat_training_loop.thisRepN,repeat_training_loop.thisTrialN,repeat_training_loop.thisN,repeat_training_loop.thisIndex,repeat_training_loop.ran,key_resp_break_1.keys,key_resp_break_1.rt,time_loop,n_loop_1a,time_trial,key_resp_cue1.keys,key_resp_cue1.rt,key_pause.keys,key_resp_cue2.keys,resp_R.keys,resp_R.corr,on_time_R,resp_numb.keys,resp1.keys,resp1.corr,resp2.keys,resp2.corr,resp3.keys,resp3.corr,resp_total_value,resp_total_time,on_time,too_early,resp_total_corr,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,trials_loop.ran,cue1,color1expl,cue2,color2expl,conditions,trial_type,congruent,corrAns1,corrAns2,corrAns3,corrAnsR,numbers_seq,numbers_pr,img_fix_1,img_fix_2,jitter_fix,jitter_ICI,key_pause.rt,loop_t1_corr,end_tr1.keys,end_tr1.rt,repeat_training_loop1.thisRepN,repeat_training_loop1.thisTrialN,repeat_training_loop1.thisN,repeat_training_loop1.thisIndex,repeat_training_loop1.ran,key_resp_cue2.rt,resp_R.rt,filler_press,resp1.rt,resp2.rt,resp3.rt,bonus,eligible,key_eligible.keys,key_eligible.rt,time_instructions_b,resp_pre_instr.keys,resp_pre_instr.corr,resp_pre_instr.rt,repeat_training_loop_b.thisRepN,repeat_training_loop_b.thisTrialN,repeat_training_loop_b.thisN,repeat_training_loop_b.thisIndex,repeat_training_loop_b.ran,key_break_tr1_tr2.keys,key_break_tr1_tr2.rt,n_loop_2a,key_resp_cue1b.keys,key_pause_b.keys,key_resp_cue2b.keys,resp1b.keys,resp1b.corr,resp2b.keys,resp2b.corr,resp3b.keys,resp3b.corr,trials_loop_b.thisRepN,trials_loop_b.thisTrialN,trials_loop_b.thisN,trials_loop_b.thisIndex,trials_loop_b.ran,resp1b.rt,resp2b.rt,resp3b.rt,loop_t2_corr,end_tr2.keys,end_tr2.rt,repeat_training_loop1b.thisRepN,repeat_training_loop1b.thisTrialN,repeat_training_loop1b.thisN,repeat_training_loop1b.thisIndex,repeat_training_loop1b.ran,key_pause_b.rt,key_resp_cue1b.rt,time_end_exp
4,1.346,4,0.296,4,0.059,0,0,0,0,1,same/Slide_D_1.jpg,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,0.101,0,1,1,1,1,same/Slide_D_2.jpg,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,0.092,0,2,2,2,1,same/Slide_D_3.jpg,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,0.095,0,3,3,3,1,same/Slide_D_4.jpg,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,0.037,0,4,4,4,1,same/Slide_D_5.jpg,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,0.084,0,5,5,5,1,same/Slide_D_6.jpg,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,4,1,0.141,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,4,0.759,3.874,0,3.874,4,0.3,,,,0,1,,,0,,0,,0,0,0,0,1,0,0,0,0,0,1,cues/grey.png,grey,cues/lightblue.png,lightblue,fill_rule,filler,0,1,1,1,4,0 - 0 - 0,1,cues/fix_1.png,cues/fix_2.png,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,,,7.718,0,7.718,,,1,,,0,1,,,0,,0,,0,0,0,0,1,0,0,1,1,1,1,cues/white.png,white,cues/orange.png,orange,subrule,experimental,1,1,1,1,1,1-1-1,30,cues/fix_1.png,cues/fix_2.png,1,1.5,0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1.191,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,,,12.748,1,12.748,,,,4,,0,1,,,0,,0,,0,0,0,0,1,0,0,0,0,0,1,cues/grey.png,grey,cues/lightblue.png,lightblue,fill_rule,filler,0,1,1,1,4,0 - 0 - 0,1,cues/fix_1.png,cues/fix_2.png,1.5,1.5,,,,,,,,,,0.382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,,,18.631,1,18.631,,,,,,0,1,,,0,,0,,0,0,0,0,0,0,0,1,1,1,1,cues/white.png,white,cues/orange.png,orange,subrule,experimental,1,1,1,1,1,1-1-1,30,cues/fix_1.png,cues/fix_2.png,1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,18.941,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,,,45.12,2,45.12,,,,,4,1,1,,,0,,0,,0,3,2.5,0,0,1,0,0,0,0,1,cues/grey.png,grey,cues/lightblue.png,lightblue,fill_rule,filler,0,1,1,1,4,0 - 0 - 0,1,cues/fix_1.png,cues/fix_2.png,1.5,1.5,,,,,,,,,,,0.236,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,,,56.447,2,56.447,,,,,1,1,1,,1,1,1,1,1,1,0,1.598,1,0,1,0,1,1,1,1,cues/white.png,white,cues/orange.png,orange,subrule,experimental,1,1,1,1,1,1-1-1,30,cues/fix_1.png,cues/fix_2.png,1,1.5,,,,,,,,,,,0.448,,1.231,0.195,0.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2.766,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,,,69.554,3,69.554,,,,,4,1,1,,,0,,0,,0,3,2.5,0,0,1,0,0,0,0,1,cues/grey.png,grey,cues/lightblue.png,lightblue,fill_rule,filler,0,1,1,1,4,0 - 0 - 0,1,cues/fix_1.png,cues/fix_2.png,1.5,1.5,,,,,,,,,,,0.402,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,,,81.01,3,81.01,,,,,1,1,1,,1,1,1,1,1,1,0,1.055,1,0,1,0,1,1,1,1,cues/white.png,white,cues/orange.png,orange,subrule,experimental,1,1,1,1,1,1-1-1,30,cues/fix_1.png,cues/fix_2.png,1,1.5,,,,,,,,,,,0.307,,0.467,0.293,0.295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4.041,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,,,94.474,4,94.474,,,,,4,1,1,,,0,,0,,0,3,2.5,0,0,1,0,0,0,0,1,cues/grey.png,grey,cues/lightblue.png,lightblue,fill_rule,filler,0,1,1,1,4,0 - 0 - 0,1,cues/fix_1.png,cues/fix_2.png,1.5,1.5,,,,,,,,,,,0.274,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,,,105.761,4,105.761,,,,,1,1,1,,1,1,1,1,1,1,0,0.981,1,0,1,0,1,1,1,1,cues/white.png,white,cues/orange.png,orange,subrule,experimental,1,1,1,1,1,1-1-1,30,cues/fix_1.png,cues/fix_2.png,1,1.5,,,,,,,,,,,0.336,,0.676,0.276,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2.037,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,,,117.277,5,117.277,,,,,4,1,1,,,0,,0,,0,3,2.5,0,0,1,0,0,0,0,1,cues/grey.png,grey,cues/lightblue.png,lightblue,fill_rule,filler,0,1,1,1,4,0 - 0 - 0,1,cues/fix_1.png,cues/fix_2.png,1.5,1.5,,,,,,,,,,,0.534,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,,,128.821,5,128.821,,,,,1,1,1,,1,1,1,1,1,1,0,0.945,1,0,1,0,1,1,1,1,cues/white.png,white,cues/orange.png,orange,subrule,experimental,1,1,1,1,1,1-1-1,30,cues/fix_1.png,cues/fix_2.png,1,1.5,,,,,,,,,,,0.316,,0.678,0.181,0.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1.282,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,yes,1,7.658,147.198,4,1,2.017,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,,,151,,151,,,,,,,,,,,,,,,3,2.5,0,0,1,,,,,,cues/grey.png,grey,cues/lightblue.png,lightblue,fill_rule,filler,0,1,1,1,4,0 - 0 - 0,1,cues/fix_1.png,cues/fix_2.png,1.5,1.5,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,4,1.718,0,,,,,0,,0,,0,0,0,0,0,1,,,,,,,,,,,,,,
,,,,,,,,,,,,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,,,159.525,,159.525,,,,,,,,,,,,,,,0,0.991,1,0,1,,,,,,cues/white.png,white,cues/orange.png,orange,subrule,experimental,1,1,1,1,1,1-1-1,30,cues/fix_1.png,cues/fix_2.png,1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,1,1,1,1,1,0,1,1,1,1,0.434,0.268,0.289,,,,,,,,,,,
,,,,,,,,,,,,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1.978,0,0,0,0,1,,,
,,,,,,,,,,,,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,,,168.048,,168.048,,,,,,,,,,,,,,,0,0,0,1,0,,,,,,cues/grey.png,grey,cues/lightblue.png,lightblue,fill_rule,filler,0,1,1,1,4,0 - 0 - 0,1,cues/fix_1.png,cues/fix_2.png,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,,0,,0,,0,0,0,0,0,1,,,,,,,,,,,,1.402,,
,,,,,,,,,,,,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,,,173.462,,173.462,,,,,,,,,,,,,,,3,2.5,0,0,0,,,,,,cues/white.png,white,cues/orange.png,orange,subrule,experimental,1,1,1,1,1,1-1-1,30,cues/fix_1.png,cues/fix_2.png,1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,,0,,0,0,1,1,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,12.074,1,0,1,0,1,,,
,,,,,,,,,,,,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,,,193.597,,193.597,,,,,,,,,,,,,,,3,2.5,0,0,1,,,,,,cues/grey.png,grey,cues/lightblue.png,lightblue,fill_rule,filler,0,1,1,1,4,0 - 0 - 0,1,cues/fix_1.png,cues/fix_2.png,1.5,1.5,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,2,,,,,0,,0,,0,0,0,0,0,1,,,,,,,,,,,,,,
,,,,,,,,,,,,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,,,202.108,,202.108,,,,,,,,,,,,,,,3,2.5,0,0,0,,,,,,cues/white.png,white,cues/orange.png,orange,subrule,experimental,1,1,1,1,1,1-1-1,30,cues/fix_1.png,cues/fix_2.png,1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,0,,0,,0,0,1,1,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,6.649,2,0,2,0,1,,,
,,,,,,,,,,,,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,,,216.822,,216.822,,,,,,,,,,,,,,,3,2.5,0,0,1,,,,,,cues/grey.png,grey,cues/lightblue.png,lightblue,fill_rule,filler,0,1,1,1,4,0 - 0 - 0,1,cues/fix_1.png,cues/fix_2.png,1.5,1.5,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,3,,,,,0,,0,,0,0,0,0,0,1,,,,,,,,,,,,,,
,,,,,,,,,,,,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,,,225.32,,225.32,,,,,,,,,,,,,,,3,2.5,0,0,0,,,,,,cues/white.png,white,cues/orange.png,orange,subrule,experimental,1,1,1,1,1,1-1-1,30,cues/fix_1.png,cues/fix_2.png,1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,0,,0,,0,0,1,1,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,1.255,3,0,3,0,1,,,
,,,,,,,,,,,,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,,,234.612,,234.612,,,,,,,,,,,,,,,3,2.5,0,0,1,,,,,,cues/grey.png,grey,cues/lightblue.png,lightblue,fill_rule,filler,0,1,1,1,4,0 - 0 - 0,1,cues/fix_1.png,cues/fix_2.png,1.5,1.5,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,4,,,,,0,,0,,0,0,0,0,0,1,,,,,,,,,,,,,,
,,,,,,,,,,,,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,,,243.13,,243.13,,,,,,,,,,,,,,,3,2.5,0,0,0,,,,,,cues/white.png,white,cues/orange.png,orange,subrule,experimental,1,1,1,1,1,1-1-1,30,cues/fix_1.png,cues/fix_2.png,1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,0,,0,,0,0,1,1,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,2.47,4,0,4,0,1,,,
,,,,,,,,,,,,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,,,253.639,,253.639,,,,,,,,,,,,,,,0,0,0,1,0,,,,,,cues/grey.png,grey,cues/lightblue.png,lightblue,fill_rule,filler,0,1,1,1,4,0 - 0 - 0,1,cues/fix_1.png,cues/fix_2.png,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,,,,0,,0,,0,0,0,0,0,1,,,,,,,,,,,,,0.294,
,,,,,,,,,,,,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,,,257.433,,257.433,,,,,,,,,,,,,,,3,2.5,0,0,0,,,,,,cues/white.png,white,cues/orange.png,orange,subrule,experimental,1,1,1,1,1,1-1-1,30,cues/fix_1.png,cues/fix_2.png,1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,0,,0,,0,0,1,1,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0.798,5,0,5,0,1,,,
,,,,,,,,,,,,1,F,Tr,Männlich,No,2020-04-13_18h33.42.521,MRep_Training,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.29
